"Version,booster",Launch site,Payload,Orbit,Customer,Flight No.,Payload mass,Launch outcome,Version Booster,Booster landing,Date,Time
,CCAFS,Dragon Spacecraft Qualification Unit,LEO,SpaceX,1,0,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
,CCAFS,Dragon,LEO,"NASA (COTS)
NRO",2,0,Success,F9 v1.07B0004.18,Failure,8 December 2010,15:43
,CCAFS,Dragon,LEO,NASA (COTS),3,525 kg,Success,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
,CCAFS,SpaceX CRS-1,LEO,NASA (CRS),4,"4,700 kg","Success
",F9 v1.07B0006.18,No attempt,8 October 2012,00:35
,CCAFS,SpaceX CRS-2,LEO,NASA (CRS),5,"4,877 kg","Success
",F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
,VAFB,CASSIOPE,Polar orbit,MDA,6,500 kg,Success,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
,CCAFS,SES-8,GTO,SES,7,"3,170 kg",Success,F9 v1.1,No attempt,3 December 2013,22:41
,CCAFS,Thaicom 6,GTO,Thaicom,8,"3,325 kg",Success,F9 v1.1,No attempt,6 January 2014,22:06
,Cape Canaveral,SpaceX CRS-3,LEO,NASA (CRS),9,"2,296 kg","Success
",F9 v1.1,Controlled,18 April 2014,19:25
,Cape Canaveral,Orbcomm-OG2,LEO,Orbcomm,10,"1,316 kg",Success,F9 v1.1,Controlled,14 July 2014,15:15
,Cape Canaveral,AsiaSat 8,GTO,AsiaSat,11,"4,535 kg",Success,F9 v1.1,No attempt,5 August 2014,08:00
,Cape Canaveral,AsiaSat 6,GTO,AsiaSat,12,"4,428 kg",Success,F9 v1.1[,"No attempt
",7 September 2014,05:00
,Cape Canaveral,SpaceX CRS-4,LEO,NASA (CRS),13,"2,216 kg",Success,F9 v1.1[,Uncontrolled,21 September 2014,05:52
,Cape Canaveral,SpaceX CRS-5,LEO,NASA (CRS),14,"2,395 kg",Success,F9 v1.1[,Failure ,10 January 2015,09:47
,Cape Canaveral,DSCOVR,HEO,"USAF
NASA
NOAA",15,570 kg,"Success
",F9 v1.1[,Controlled,11 February 2015,23:03
,Cape Canaveral,ABS-3A,GTO,"ABS
Eutelsat",16,"4,159 kg","Success
",F9 v1.1[,No attempt,2 March 2015,03:50
,Cape Canaveral,SpaceX CRS-6,LEO,NASA (CRS),17,"1,898 kg","Success
",F9 v1.1[,Failure,14 April 2015,20:10
